"","fb_gene_id"
"1","FBgn0040364"
"2","FBgn0030098"
"3","FBgn0030148"
"4","FBgn0030156"
"5","FBgn0035280"
"6","FBgn0040553"
"7","FBgn0035325"
"8","FBgn0035359"
"9","FBgn0030262"
"10","FBgn0040729"
"11","FBgn0031942"
"12","FBgn0040736"
"13","FBgn0040794"
"14","FBgn0030332"
"15","FBgn0000442"
"16","FBgn0000551"
"17","FBgn0040959"
"18","FBgn0035554"
"19","FBgn0035607"
"20","FBgn0035611"
"21","FBgn0035638"
"22","FBgn0001187"
"23","FBgn0030544"
"24","FBgn0035666"
"25","FBgn0042118"
"26","FBgn0030594"
"27","FBgn0001285"
"28","FBgn0030615"
"29","FBgn0035737"
"30","FBgn0035779"
"31","FBgn0035780"
"32","FBgn0035792"
"33","FBgn0043783"
"34","FBgn0002535"
"35","FBgn0002564"
"36","FBgn0002569"
"37","FBgn0002570"
"38","FBgn0030747"
"39","FBgn0030756"
"40","FBgn0030774"
"41","FBgn0030824"
"42","FBgn0030828"
"43","FBgn0003060"
"44","FBgn0003086"
"45","FBgn0036106"
"46","FBgn0030947"
"47","FBgn0036131"
"48","FBgn0030968"
"49","FBgn0003357"
"50","FBgn0003358"
"51","FBgn0030999"
"52","FBgn0031000"
"53","FBgn0031034"
"54","FBgn0036229"
"55","FBgn0031080"
"56","FBgn0003863"
"57","FBgn0036362"
"58","FBgn0050458"
"59","FBgn0036419"
"60","FBgn0036422"
"61","FBgn0031277"
"62","FBgn0051015"
"63","FBgn0036467"
"64","FBgn0004425"
"65","FBgn0004427"
"66","FBgn0004428"
"67","FBgn0004430"
"68","FBgn0262607"
"69","FBgn0004554"
"70","FBgn0038130"
"71","FBgn0004780"
"72","FBgn0004782"
"73","FBgn0004783"
"74","FBgn0036596"
"75","FBgn0036597"
"76","FBgn0036598"
"77","FBgn0036602"
"78","FBgn0031467"
"79","FBgn0036610"
"80","FBgn0036627"
"81","FBgn0031514"
"82","FBgn0031548"
"83","FBgn0031562"
"84","FBgn0036711"
"85","FBgn0031579"
"86","FBgn0031580"
"87","FBgn0051410"
"88","FBgn0010019"
"89","FBgn0010043"
"90","FBgn0010044"
"91","FBgn0031653"
"92","FBgn0031654"
"93","FBgn0036806"
"94","FBgn0051547"
"95","FBgn0036831"
"96","FBgn0036833"
"97","FBgn0031713"
"98","FBgn0010357"
"99","FBgn0010358"
"100","FBgn0010359"
"101","FBgn0036878"
"102","FBgn0263314"
"103","FBgn0010425"
"104","FBgn0031791"
"105","FBgn0036947"
"106","FBgn0036948"
"107","FBgn0036949"
"108","FBgn0051781"
"109","FBgn0031860"
"110","FBgn0036996"
"111","FBgn0011283"
"112","FBgn0031910"
"113","FBgn0031929"
"114","FBgn0031940"
"115","FBgn0033729"
"116","FBgn0051901"
"117","FBgn0011554"
"118","FBgn0011555"
"119","FBgn0011556"
"120","FBgn0031957"
"121","FBgn0011581"
"122","FBgn0051954"
"123","FBgn0051956"
"124","FBgn0032008"
"125","FBgn0037125"
"126","FBgn0037127"
"127","FBgn0037128"
"128","FBgn0032049"
"129","FBgn0011822"
"130","FBgn0032068"
"131","FBgn0011834"
"132","FBgn0037176"
"133","FBgn0037177"
"134","FBgn0052188"
"135","FBgn0052270"
"136","FBgn0037387"
"137","FBgn0013279"
"138","FBgn0013307"
"139","FBgn0032304"
"140","FBgn0032436"
"141","FBgn0037547"
"142","FBgn0052603"
"143","FBgn0015001"
"144","FBgn0015010"
"145","FBgn0052656"
"146","FBgn0037627"
"147","FBgn0032615"
"148","FBgn0037690"
"149","FBgn0015572"
"150","FBgn0032663"
"151","FBgn0034480"
"152","FBgn0037782"
"153","FBgn0016047"
"154","FBgn0037832"
"155","FBgn0016123"
"156","FBgn0037870"
"157","FBgn0034588"
"158","FBgn0053306"
"159","FBgn0019940"
"160","FBgn0020258"
"161","FBgn0020508"
"162","FBgn0020639"
"163","FBgn0020641"
"164","FBgn0020644"
"165","FBgn0020645"
"166","FBgn0020765"
"167","FBgn0053470"
"168","FBgn0020880"
"169","FBgn0020906"
"170","FBgn0033129"
"171","FBgn0034828"
"172","FBgn0033138"
"173","FBgn0038135"
"174","FBgn0038148"
"175","FBgn0033221"
"176","FBgn0029762"
"177","FBgn0023178"
"178","FBgn0033294"
"179","FBgn0053808"
"180","FBgn0038354"
"181","FBgn0033423"
"182","FBgn0038416"
"183","FBgn0033501"
"184","FBgn0035193"
"185","FBgn0038481"
"186","FBgn0038485"
"187","FBgn0053983"
"188","FBgn0053985"
"189","FBgn0024997"
"190","FBgn0025383"
"191","FBgn0033587"
"192","FBgn0033598"
"193","FBgn0025583"
"194","FBgn0058198"
"195","FBgn0025643"
"196","FBgn0038642"
"197","FBgn0033724"
"198","FBgn0033726"
"199","FBgn0033728"
"200","FBgn0033730"
"201","FBgn0025837"
"202","FBgn0038700"
"203","FBgn0025878"
"204","FBgn0038725"
"205","FBgn0033788"
"206","FBgn0265808"
"207","FBgn0040923"
"208","FBgn0038799"
"209","FBgn0033869"
"210","FBgn0038845"
"211","FBgn0038873"
"212","FBgn0038897"
"213","FBgn0265915"
"214","FBgn0034011"
"215","FBgn0034053"
"216","FBgn0035736"
"217","FBgn0083941"
"218","FBgn0032281"
"219","FBgn0034128"
"220","FBgn0039091"
"221","FBgn0030729"
"222","FBgn0085227"
"223","FBgn0267578"
"224","FBgn0034197"
"225","FBgn0085244"
"226","FBgn0039152"
"227","FBgn0034247"
"228","FBgn0034279"
"229","FBgn0085313"
"230","FBgn0034289"
"231","FBgn0034291"
"232","FBgn0034292"
"233","FBgn0034294"
"234","FBgn0034295"
"235","FBgn0034296"
"236","FBgn0039232"
"237","FBgn0085334"
"238","FBgn0034318"
"239","FBgn0034329"
"240","FBgn0034382"
"241","FBgn0039313"
"242","FBgn0266276"
"243","FBgn0039332"
"244","FBgn0028532"
"245","FBgn0028533"
"246","FBgn0028534"
"247","FBgn0028542"
"248","FBgn0034470"
"249","FBgn0085475"
"250","FBgn0034475"
"251","FBgn0039435"
"252","FBgn0039438"
"253","FBgn0039439"
"254","FBgn0039448"
"255","FBgn0028871"
"256","FBgn0028872"
"257","FBgn0028920"
"258","FBgn0050371"
"259","FBgn0028950"
"260","FBgn0034661"
"261","FBgn0034664"
"262","FBgn0031249"
"263","FBgn0039670"
"264","FBgn0039671"
"265","FBgn0029573"
"266","FBgn0029639"
"267","FBgn0038136"
"268","FBgn0034901"
"269","FBgn0029765"
"270","FBgn0029810"
"271","FBgn0039864"
"272","FBgn0029827"
"273","FBgn0029851"
"274","FBgn0035006"
"275","FBgn0035022"
"276","FBgn0029898"
"277","FBgn0040060"
"278","FBgn0051463"
"279","FBgn0040074"
"280","FBgn0029950"
"281","FBgn0040099"
"282","FBgn0031690"
"283","FBgn0040255"
"284","FBgn0030005"
"285","FBgn0035154"
"286","FBgn0040363"
"287","FBgn0033588"
"288","FBgn0030105"
"289","FBgn0035265"
"290","FBgn0030158"
"291","FBgn0033614"
"292","FBgn0051789"
"293","FBgn0030237"
"294","FBgn0040653"
"295","FBgn0040717"
"296","FBgn0040733"
"297","FBgn0030304"
"298","FBgn0040795"
"299","FBgn0037129"
"300","FBgn0040958"
"301","FBgn0030394"
"302","FBgn0267224"
"303","FBgn0035543"
"304","FBgn0032069"
"305","FBgn0035548"
"306","FBgn0037222"
"307","FBgn0052189"
"308","FBgn0041337"
"309","FBgn0030537"
"310","FBgn0035665"
"311","FBgn0035667"
"312","FBgn0042105"
"313","FBgn0042110"
"314","FBgn0042137"
"315","FBgn0035718"
"316","FBgn0035743"
"317","FBgn0052354"
"318","FBgn0035785"
"319","FBgn0035788"
"320","FBgn0043471"
"321","FBgn0035817"
"322","FBgn0035845"
"323","FBgn0266095"
"324","FBgn0030746"
"325","FBgn0030748"
"326","FBgn0030775"
"327","FBgn0030776"
"328","FBgn0052571"
"329","FBgn0035926"
"330","FBgn0085300"
"331","FBgn0030832"
"332","FBgn0085311"
"333","FBgn0030837"
"334","FBgn0267657"
"335","FBgn0262022"
"336","FBgn0036024"
"337","FBgn0050025"
"338","FBgn0050026"
"339","FBgn0050031"
"340","FBgn0050052"
"341","FBgn0030929"
"342","FBgn0262142"
"343","FBgn0036110"
"344","FBgn0266325"
"345","FBgn0050196"
"346","FBgn0036226"
"347","FBgn0036227"
"348","FBgn0039481"
"349","FBgn0034582"
"350","FBgn0036320"
"351","FBgn0264916"
"352","FBgn0036393"
"353","FBgn0036394"
"354","FBgn0050479"
"355","FBgn0050480"
"356","FBgn0262569"
"357","FBgn0051036"
"358","FBgn0038074"
"359","FBgn0031324"
"360","FBgn0031327"
"361","FBgn0051080"
"362","FBgn0051087"
"363","FBgn0284229"
"364","FBgn0033124"
"365","FBgn0262679"
"366","FBgn0265152"
"367","FBgn0036639"
"368","FBgn0051265"
"369","FBgn0051266"
"370","FBgn0051267"
"371","FBgn0031533"
"372","FBgn0051343"
"373","FBgn0262972"
"374","FBgn0051439"
"375","FBgn0051446"
"376","FBgn0036766"
"377","FBgn0036835"
"378","FBgn0036871"
"379","FBgn0036873"
"380","FBgn0036879"
"381","FBgn0052405"
"382","FBgn0033645"
"383","FBgn0036979"
"384","FBgn0051821"
"385","FBgn0038643"
"386","FBgn0035980"
"387","FBgn0033782"
"388","FBgn0267705"
"389","FBgn0265809"
"390","FBgn0037178"
"391","FBgn0037181"
"392","FBgn0032085"
"393","FBgn0037204"
"394","FBgn0037227"
"395","FBgn0032131"
"396","FBgn0032144"
"397","FBgn0032181"
"398","FBgn0032187"
"399","FBgn0052237"
"400","FBgn0052241"
"401","FBgn0042086"
"402","FBgn0052269"
"403","FBgn0052284"
"404","FBgn0053271"
"405","FBgn0037895"
"406","FBgn0052302"
"407","FBgn0039031"
"408","FBgn0037420"
"409","FBgn0039052"
"410","FBgn0037428"
"411","FBgn0039596"
"412","FBgn0085205"
"413","FBgn0039107"
"414","FBgn0046689"
"415","FBgn0037615"
"416","FBgn0264488"
"417","FBgn0039807"
"418","FBgn0039311"
"419","FBgn0085455"
"420","FBgn0037750"
"421","FBgn0266365"
"422","FBgn0053124"
"423","FBgn0053127"
"424","FBgn0053128"
"425","FBgn0053192"
"426","FBgn0259736"
"427","FBgn0039480"
"428","FBgn0053269"
"429","FBgn0266566"
"430","FBgn0039053"
"431","FBgn0039612"
"432","FBgn0044011"
"433","FBgn0039086"
"434","FBgn0038002"
"435","FBgn0038009"
"436","FBgn0264993"
"437","FBgn0038095"
"438","FBgn0250815"
"439","FBgn0038161"
"440","FBgn0034900"
"441","FBgn0262856"
"442","FBgn0038820"
"443","FBgn0033308"
"444","FBgn0262983"
"445","FBgn0263235"
"446","FBgn0051648"
"447","FBgn0054026"
"448","FBgn0267550"
"449","FBgn0034755"
"450","FBgn0266144"
"451","FBgn0063496"
"452","FBgn0085310"
"453","FBgn0262028"
"454","FBgn0033826"
"455","FBgn0038818"
"456","FBgn0085474"
"457","FBgn0052208"
"458","FBgn0266401"
"459","FBgn0037290"
"460","FBgn0039475"
"461","FBgn0039051"
"462","FBgn0267542"
"463","FBgn0266069"
"464","FBgn0052483"
"465","FBgn0039131"
"466","FBgn0267617"
"467","FBgn0035929"
"468","FBgn0052633"
"469","FBgn0085294"
"470","FBgn0085296"
"471","FBgn0085297"
"472","FBgn0261997"
"473","FBgn0053527"
"474","FBgn0039777"
"475","FBgn0085356"
"476","FBgn0039469"
"477","FBgn0039297"
"478","FBgn0036102"
"479","FBgn0039325"
"480","FBgn0034499"
"481","FBgn0053160"
"482","FBgn0039471"
"483","FBgn0039821"
"484","FBgn0054003"
"485","FBgn0034783"
"486","FBgn0040699"
"487","FBgn0039760"
"488","FBgn0250833"
"489","FBgn0039778"
"490","FBgn0039787"
"491","FBgn0039801"
"492","FBgn0040828"
"493","FBgn0039872"
"494","FBgn0051337"
"495","FBgn0263081"
"496","FBgn0259896"
"497","FBgn0259998"
"498","FBgn0035313"
"499","FBgn0052074"
"500","FBgn0040734"
"501","FBgn0052213"
"502","FBgn0267737"
"503","FBgn0261675"
"504","FBgn0038701"
"505","FBgn0052220"
"506","FBgn0035985"
"507","FBgn0267457"
"508","FBgn0085319"
"509","FBgn0267025"
"510","FBgn0264296"
"511","FBgn0263080"
"512","FBgn0267740"
"513","FBgn0262608"
"514","FBgn0037563"
"515","FBgn0266734"
"516","FBgn0050411"
"517","FBgn0038819"
"518","FBgn0036321"
"519","FBgn0266702"
"520","FBgn0265081"
"521","FBgn0266331"
"522","FBgn0046880"
"523","FBgn0037174"
"524","FBgn0266642"
"525","FBgn0038846"
"526","FBgn0266491"
"527","FBgn0053272"
"528","FBgn0039024"
"529","FBgn0085195"
"530","FBgn0038181"
"531","FBgn0034288"
"532","FBgn0003965"
"533","FBgn0037275"
"534","FBgn0037165"
"535","FBgn0033629"
"536","FBgn0040256"
"537","FBgn0034693"
"538","FBgn0259209"
"539","FBgn0051778"
"540","FBgn0031560"
"541","FBgn0038466"
"542","FBgn0037416"
"543","FBgn0032124"
"544","FBgn0020416"
"545","FBgn0024980"
"546","FBgn0035511"
"547","FBgn0051259"
"548","FBgn0035649"
"549","FBgn0040723"
"550","FBgn0033848"
"551","FBgn0032895"
"552","FBgn0040799"
"553","FBgn0033793"
"554","FBgn0243586"
"555","FBgn0004577"
"556","FBgn0038658"
"557","FBgn0034759"
"558","FBgn0053966"
"559","FBgn0037430"
"560","FBgn0032797"
"561","FBgn0011296"
"562","FBgn0042104"
"563","FBgn0039085"
"564","FBgn0046113"
"565","FBgn0037503"
"566","FBgn0052054"
"567","FBgn0263031"
"568","FBgn0036225"
"569","FBgn0030358"
"570","FBgn0017482"
"571","FBgn0004552"
"572","FBgn0038832"
"573","FBgn0005586"
"574","FBgn0031930"
"575","FBgn0031563"
"576","FBgn0036951"
"577","FBgn0267534"
"578","FBgn0038180"
"579","FBgn0040730"
"580","FBgn0038613"
"581","FBgn0035859"
"582","FBgn0035875"
"583","FBgn0032209"
"584","FBgn0024361"
"585","FBgn0037146"
"586","FBgn0040281"
"587","FBgn0030011"
"588","FBgn0265577"
"589","FBgn0037395"
"590","FBgn0036367"
"591","FBgn0037429"
"592","FBgn0039415"
"593","FBgn0031970"
"594","FBgn0035043"
"595","FBgn0036756"
"596","FBgn0002571"
"597","FBgn0039805"
"598","FBgn0035281"
"599","FBgn0037849"
"600","FBgn0035293"
"601","FBgn0052548"
"602","FBgn0034567"
"603","FBgn0034761"
"604","FBgn0052570"
"605","FBgn0038105"
"606","FBgn0030257"
"607","FBgn0036529"
"608","FBgn0039238"
"609","FBgn0039264"
"610","FBgn0266742"
"611","FBgn0026754"
"612","FBgn0260955"
"613","FBgn0266807"
"614","FBgn0260964"
"615","FBgn0052029"
"616","FBgn0030928"
"617","FBgn0266275"
"618","FBgn0015570"
"619","FBgn0031939"
"620","FBgn0259219"
"621","FBgn0033873"
"622","FBgn0023496"
"623","FBgn0015032"
"624","FBgn0032773"
"625","FBgn0041723"
"626","FBgn0026755"
"627","FBgn0038938"
"628","FBgn0030157"
"629","FBgn0034200"
"630","FBgn0036282"
"631","FBgn0034943"
"632","FBgn0038436"
"633","FBgn0039521"
"634","FBgn0053302"
"635","FBgn0036870"
"636","FBgn0035781"
"637","FBgn0037424"
"638","FBgn0051664"
"639","FBgn0039081"
"640","FBgn0037817"
"641","FBgn0029105"
"642","FBgn0054054"
"643","FBgn0037107"
"644","FBgn0036940"
"645","FBgn0035496"
"646","FBgn0045038"
"647","FBgn0031857"
"648","FBgn0031692"
"649","FBgn0034229"
"650","FBgn0040606"
"651","FBgn0033679"
"652","FBgn0262613"
"653","FBgn0027929"
"654","FBgn0036551"
"655","FBgn0034103"
"656","FBgn0035798"
"657","FBgn0034662"
"658","FBgn0040797"
"659","FBgn0004779"
"660","FBgn0036594"
"661","FBgn0036593"
"662","FBgn0051198"
"663","FBgn0032024"
"664","FBgn0032025"
"665","FBgn0051792"
"666","FBgn0038795"
"667","FBgn0085425"
"668","FBgn0032652"
"669","FBgn0085428"
"670","FBgn0036676"
"671","FBgn0023479"
"672","FBgn0033911"
"673","FBgn0033366"
"674","FBgn0259707"
"675","FBgn0039470"
"676","FBgn0038394"
"677","FBgn0266446"
"678","FBgn0035711"
"679","FBgn0040279"
"680","FBgn0024897"
"681","FBgn0030041"
"682","FBgn0262728"
"683","FBgn0261681"
"684","FBgn0033589"
"685","FBgn0044047"
"686","FBgn0032373"
"687","FBgn0035856"
"688","FBgn0030162"
"689","FBgn0039682"
"690","FBgn0031865"
"691","FBgn0034758"
"692","FBgn0040601"
"693","FBgn0020640"
"694","FBgn0085277"
"695","FBgn0051086"
"696","FBgn0033136"
"697","FBgn0260767"
"698","FBgn0262001"
"699","FBgn0039239"
"700","FBgn0034883"
"701","FBgn0260942"
"702","FBgn0035090"
"703","FBgn0262146"
"704","FBgn0029807"
"705","FBgn0040968"
"706","FBgn0033275"
"707","FBgn0034437"
"708","FBgn0039897"
"709","FBgn0037197"
"710","FBgn0038291"
"711","FBgn0039927"
"712","FBgn0037228"
"713","FBgn0035076"
"714","FBgn0035858"
"715","FBgn0031466"
"716","FBgn0038581"
"717","FBgn0036620"
"718","FBgn0033658"
"719","FBgn0035917"
"720","FBgn0034789"
"721","FBgn0028936"
"722","FBgn0051106"
"723","FBgn0038132"
"724","FBgn0040349"
"725","FBgn0260000"
"726","FBgn0032322"
"727","FBgn0039611"
"728","FBgn0266626"
"729","FBgn0028381"
"730","FBgn0039453"
"731","FBgn0040091"
"732","FBgn0038693"
"733","FBgn0034920"
"734","FBgn0267714"
"735","FBgn0036108"
"736","FBgn0032433"
"737","FBgn0039719"
"738","FBgn0004516"
"739","FBgn0085305"
"740","FBgn0052667"
"741","FBgn0046878"
"742","FBgn0037996"
"743","FBgn0030541"
"744","FBgn0039818"
"745","FBgn0052036"
"746","FBgn0004513"
"747","FBgn0038774"
"748","FBgn0036984"
"749","FBgn0050101"
"750","FBgn0028543"
"751","FBgn0032684"
"752","FBgn0033130"
"753","FBgn0035583"
"754","FBgn0051201"
"755","FBgn0039648"
"756","FBgn0259201"
"757","FBgn0053519"
"758","FBgn0030980"
"759","FBgn0085466"
"760","FBgn0031065"
"761","FBgn0031703"
"762","FBgn0040211"
"763","FBgn0031688"
"764","FBgn0036109"
"765","FBgn0039856"
"766","FBgn0020912"
"767","FBgn0004781"
"768","FBgn0266492"
"769","FBgn0263761"
"770","FBgn0064237"
"771","FBgn0250836"
"772","FBgn0264878"
"773","FBgn0030459"
"774","FBgn0004778"
"775","FBgn0029690"
"776","FBgn0003149"
"777","FBgn0034605"
"778","FBgn0037447"
