"","group_name","fb_gene_id","unique_terms"
"1","0 tissues","FBgn0000442",4
"2","0 tissues","FBgn0002564",4
"3","0 tissues","FBgn0004782",1
"4","0 tissues","FBgn0004783",2
"5","0 tissues","FBgn0010019",1
"6","0 tissues","FBgn0010043",2
"7","0 tissues","FBgn0010044",4
"8","0 tissues","FBgn0011283",4
"9","0 tissues","FBgn0011581",2
"10","0 tissues","FBgn0013307",1
"11","0 tissues","FBgn0015572",2
"12","0 tissues","FBgn0016047",4
"13","0 tissues","FBgn0020258",4
"14","0 tissues","FBgn0020765",2
"15","0 tissues","FBgn0020880",6
"16","0 tissues","FBgn0023178",4
"17","0 tissues","FBgn0025643",6
"18","0 tissues","FBgn0025878",13
"19","0 tissues","FBgn0029573",4
"20","0 tissues","FBgn0029639",4
"21","0 tissues","FBgn0029810",6
"22","0 tissues","FBgn0029950",4
"23","0 tissues","FBgn0030005",1
"24","0 tissues","FBgn0030148",2
"25","0 tissues","FBgn0030237",2
"26","0 tissues","FBgn0030304",5
"27","0 tissues","FBgn0030332",2
"28","0 tissues","FBgn0030394",3
"29","0 tissues","FBgn0030748",6
"30","0 tissues","FBgn0030774",1
"31","0 tissues","FBgn0030775",2
"32","0 tissues","FBgn0030929",1
"33","0 tissues","FBgn0030968",1
"34","0 tissues","FBgn0030999",2
"35","0 tissues","FBgn0031000",2
"36","0 tissues","FBgn0031080",2
"37","0 tissues","FBgn0031327",3
"38","0 tissues","FBgn0031467",2
"39","0 tissues","FBgn0031514",2
"40","0 tissues","FBgn0031579",1
"41","0 tissues","FBgn0031713",4
"42","0 tissues","FBgn0031860",2
"43","0 tissues","FBgn0031910",2
"44","0 tissues","FBgn0031957",6
"45","0 tissues","FBgn0032068",3
"46","0 tissues","FBgn0032069",3
"47","0 tissues","FBgn0032144",2
"48","0 tissues","FBgn0032187",2
"49","0 tissues","FBgn0032281",1
"50","0 tissues","FBgn0033124",1
"51","0 tissues","FBgn0033129",2
"52","0 tissues","FBgn0033308",2
"53","0 tissues","FBgn0033423",2
"54","0 tissues","FBgn0033501",8
"55","0 tissues","FBgn0033645",3
"56","0 tissues","FBgn0033728",4
"57","0 tissues","FBgn0033782",6
"58","0 tissues","FBgn0033869",3
"59","0 tissues","FBgn0034011",1
"60","0 tissues","FBgn0034128",2
"61","0 tissues","FBgn0034197",1
"62","0 tissues","FBgn0034247",1
"63","0 tissues","FBgn0034294",2
"64","0 tissues","FBgn0034329",1
"65","0 tissues","FBgn0034382",1
"66","0 tissues","FBgn0034475",3
"67","0 tissues","FBgn0034499",5
"68","0 tissues","FBgn0034588",2
"69","0 tissues","FBgn0034661",4
"70","0 tissues","FBgn0035154",1
"71","0 tissues","FBgn0035193",2
"72","0 tissues","FBgn0035265",1
"73","0 tissues","FBgn0035280",6
"74","0 tissues","FBgn0035325",3
"75","0 tissues","FBgn0035638",4
"76","0 tissues","FBgn0035665",2
"77","0 tissues","FBgn0035736",3
"78","0 tissues","FBgn0035737",4
"79","0 tissues","FBgn0035779",4
"80","0 tissues","FBgn0035780",4
"81","0 tissues","FBgn0035926",1
"82","0 tissues","FBgn0036106",2
"83","0 tissues","FBgn0036229",1
"84","0 tissues","FBgn0036627",4
"85","0 tissues","FBgn0036766",1
"86","0 tissues","FBgn0036806",2
"87","0 tissues","FBgn0036948",1
"88","0 tissues","FBgn0037181",6
"89","0 tissues","FBgn0037290",6
"90","0 tissues","FBgn0037428",1
"91","0 tissues","FBgn0037627",5
"92","0 tissues","FBgn0037895",6
"93","0 tissues","FBgn0038074",2
"94","0 tissues","FBgn0038095",3
"95","0 tissues","FBgn0038130",3
"96","0 tissues","FBgn0038136",1
"97","0 tissues","FBgn0038700",3
"98","0 tissues","FBgn0038701",1
"99","0 tissues","FBgn0038818",8
"100","0 tissues","FBgn0038897",10
"101","0 tissues","FBgn0039051",2
"102","0 tissues","FBgn0039053",3
"103","0 tissues","FBgn0039107",4
"104","0 tissues","FBgn0039131",12
"105","0 tissues","FBgn0039232",3
"106","0 tissues","FBgn0039332",3
"107","0 tissues","FBgn0039469",3
"108","0 tissues","FBgn0039480",2
"109","0 tissues","FBgn0039481",3
"110","0 tissues","FBgn0039670",6
"111","0 tissues","FBgn0039801",4
"112","0 tissues","FBgn0040060",1
"113","0 tissues","FBgn0040364",3
"114","0 tissues","FBgn0040794",2
"115","0 tissues","FBgn0040795",1
"116","0 tissues","FBgn0042086",2
"117","0 tissues","FBgn0042105",2
"118","0 tissues","FBgn0043783",1
"119","0 tissues","FBgn0051015",2
"120","0 tissues","FBgn0051036",17
"121","0 tissues","FBgn0051337",2
"122","0 tissues","FBgn0051343",2
"123","0 tissues","FBgn0051410",1
"124","0 tissues","FBgn0051463",4
"125","0 tissues","FBgn0051547",2
"126","0 tissues","FBgn0051781",1
"127","0 tissues","FBgn0051956",1
"128","0 tissues","FBgn0052220",1
"129","0 tissues","FBgn0052237",2
"130","0 tissues","FBgn0052269",1
"131","0 tissues","FBgn0052302",2
"132","0 tissues","FBgn0052354",12
"133","0 tissues","FBgn0052405",7
"134","0 tissues","FBgn0052656",5
"135","0 tissues","FBgn0053527",1
"136","0 tissues","FBgn0250815",2
"137","0 tissues","FBgn0250833",2
"138","0 tissues","FBgn0263235",1
"139","0 tissues","FBgn0266491",2
"140","0 tissues","FBgn0266566",7
"141","1-2 tissues","FBgn0001208",1
"142","1-2 tissues","FBgn0002571",2
"143","1-2 tissues","FBgn0003065",9
"144","1-2 tissues","FBgn0003965",2
"145","1-2 tissues","FBgn0004513",5
"146","1-2 tissues","FBgn0004516",8
"147","1-2 tissues","FBgn0004552",1
"148","1-2 tissues","FBgn0004777",2
"149","1-2 tissues","FBgn0005586",11
"150","1-2 tissues","FBgn0010240",4
"151","1-2 tissues","FBgn0010424",3
"152","1-2 tissues","FBgn0011296",3
"153","1-2 tissues","FBgn0014863",1
"154","1-2 tissues","FBgn0015039",3
"155","1-2 tissues","FBgn0015570",2
"156","1-2 tissues","FBgn0015575",5
"157","1-2 tissues","FBgn0020912",21
"158","1-2 tissues","FBgn0023496",11
"159","1-2 tissues","FBgn0024315",6
"160","1-2 tissues","FBgn0024361",12
"161","1-2 tissues","FBgn0024941",2
"162","1-2 tissues","FBgn0027929",2
"163","1-2 tissues","FBgn0028381",1
"164","1-2 tissues","FBgn0028400",8
"165","1-2 tissues","FBgn0028482",2
"166","1-2 tissues","FBgn0028573",10
"167","1-2 tissues","FBgn0029105",3
"168","1-2 tissues","FBgn0029170",7
"169","1-2 tissues","FBgn0029807",3
"170","1-2 tissues","FBgn0029994",3
"171","1-2 tissues","FBgn0030011",8
"172","1-2 tissues","FBgn0030159",3
"173","1-2 tissues","FBgn0030162",4
"174","1-2 tissues","FBgn0030186",2
"175","1-2 tissues","FBgn0030261",2
"176","1-2 tissues","FBgn0030459",4
"177","1-2 tissues","FBgn0030541",2
"178","1-2 tissues","FBgn0030706",7
"179","1-2 tissues","FBgn0030928",3
"180","1-2 tissues","FBgn0031857",3
"181","1-2 tissues","FBgn0031865",3
"182","1-2 tissues","FBgn0031908",2
"183","1-2 tissues","FBgn0031970",6
"184","1-2 tissues","FBgn0032013",6
"185","1-2 tissues","FBgn0032025",5
"186","1-2 tissues","FBgn0032088",2
"187","1-2 tissues","FBgn0032209",6
"188","1-2 tissues","FBgn0032506",3
"189","1-2 tissues","FBgn0032652",3
"190","1-2 tissues","FBgn0032773",1
"191","1-2 tissues","FBgn0032774",13
"192","1-2 tissues","FBgn0032785",2
"193","1-2 tissues","FBgn0032895",6
"194","1-2 tissues","FBgn0032945",5
"195","1-2 tissues","FBgn0033130",4
"196","1-2 tissues","FBgn0033214",1
"197","1-2 tissues","FBgn0033257",5
"198","1-2 tissues","FBgn0033275",2
"199","1-2 tissues","FBgn0033366",3
"200","1-2 tissues","FBgn0033437",3
"201","1-2 tissues","FBgn0033679",5
"202","1-2 tissues","FBgn0033760",2
"203","1-2 tissues","FBgn0033793",2
"204","1-2 tissues","FBgn0033873",3
"205","1-2 tissues","FBgn0034031",2
"206","1-2 tissues","FBgn0034200",2
"207","1-2 tissues","FBgn0034229",2
"208","1-2 tissues","FBgn0034290",2
"209","1-2 tissues","FBgn0034567",4
"210","1-2 tissues","FBgn0034717",7
"211","1-2 tissues","FBgn0034758",5
"212","1-2 tissues","FBgn0034883",1
"213","1-2 tissues","FBgn0034943",3
"214","1-2 tissues","FBgn0035043",3
"215","1-2 tissues","FBgn0035077",4
"216","1-2 tissues","FBgn0035090",1
"217","1-2 tissues","FBgn0035192",3
"218","1-2 tissues","FBgn0035281",10
"219","1-2 tissues","FBgn0035508",5
"220","1-2 tissues","FBgn0035583",10
"221","1-2 tissues","FBgn0035685",5
"222","1-2 tissues","FBgn0035711",2
"223","1-2 tissues","FBgn0035781",4
"224","1-2 tissues","FBgn0035798",5
"225","1-2 tissues","FBgn0035859",1
"226","1-2 tissues","FBgn0036108",3
"227","1-2 tissues","FBgn0036208",8
"228","1-2 tissues","FBgn0036282",8
"229","1-2 tissues","FBgn0036377",2
"230","1-2 tissues","FBgn0036551",3
"231","1-2 tissues","FBgn0036839",2
"232","1-2 tissues","FBgn0036890",3
"233","1-2 tissues","FBgn0036891",6
"234","1-2 tissues","FBgn0036940",1
"235","1-2 tissues","FBgn0036945",5
"236","1-2 tissues","FBgn0036951",2
"237","1-2 tissues","FBgn0036956",1
"238","1-2 tissues","FBgn0036984",8
"239","1-2 tissues","FBgn0037107",2
"240","1-2 tissues","FBgn0037146",3
"241","1-2 tissues","FBgn0037163",4
"242","1-2 tissues","FBgn0037165",3
"243","1-2 tissues","FBgn0037228",3
"244","1-2 tissues","FBgn0037275",2
"245","1-2 tissues","FBgn0037416",7
"246","1-2 tissues","FBgn0037424",5
"247","1-2 tissues","FBgn0037429",1
"248","1-2 tissues","FBgn0037430",6
"249","1-2 tissues","FBgn0037447",6
"250","1-2 tissues","FBgn0037503",2
"251","1-2 tissues","FBgn0037517",3
"252","1-2 tissues","FBgn0037736",4
"253","1-2 tissues","FBgn0037849",4
"254","1-2 tissues","FBgn0037934",5
"255","1-2 tissues","FBgn0038132",1
"256","1-2 tissues","FBgn0038180",2
"257","1-2 tissues","FBgn0038181",2
"258","1-2 tissues","FBgn0038292",4
"259","1-2 tissues","FBgn0038366",8
"260","1-2 tissues","FBgn0038466",4
"261","1-2 tissues","FBgn0038581",8
"262","1-2 tissues","FBgn0038613",5
"263","1-2 tissues","FBgn0038774",1
"264","1-2 tissues","FBgn0038832",3
"265","1-2 tissues","FBgn0038941",5
"266","1-2 tissues","FBgn0038967",5
"267","1-2 tissues","FBgn0039008",5
"268","1-2 tissues","FBgn0039024",6
"269","1-2 tissues","FBgn0039081",1
"270","1-2 tissues","FBgn0039085",2
"271","1-2 tissues","FBgn0039203",2
"272","1-2 tissues","FBgn0039238",2
"273","1-2 tissues","FBgn0039264",1
"274","1-2 tissues","FBgn0039611",2
"275","1-2 tissues","FBgn0039667",4
"276","1-2 tissues","FBgn0039682",3
"277","1-2 tissues","FBgn0039795",12
"278","1-2 tissues","FBgn0039805",1
"279","1-2 tissues","FBgn0039897",3
"280","1-2 tissues","FBgn0039915",5
"281","1-2 tissues","FBgn0040091",7
"282","1-2 tissues","FBgn0040211",3
"283","1-2 tissues","FBgn0040279",10
"284","1-2 tissues","FBgn0040281",15
"285","1-2 tissues","FBgn0040349",5
"286","1-2 tissues","FBgn0040359",5
"287","1-2 tissues","FBgn0040360",15
"288","1-2 tissues","FBgn0040601",3
"289","1-2 tissues","FBgn0040723",1
"290","1-2 tissues","FBgn0040993",3
"291","1-2 tissues","FBgn0041707",2
"292","1-2 tissues","FBgn0043470",2
"293","1-2 tissues","FBgn0045038",6
"294","1-2 tissues","FBgn0046113",9
"295","1-2 tissues","FBgn0046878",1
"296","1-2 tissues","FBgn0050101",11
"297","1-2 tissues","FBgn0051198",1
"298","1-2 tissues","FBgn0051233",2
"299","1-2 tissues","FBgn0051259",2
"300","1-2 tissues","FBgn0051374",5
"301","1-2 tissues","FBgn0052029",5
"302","1-2 tissues","FBgn0052548",4
"303","1-2 tissues","FBgn0053178",2
"304","1-2 tissues","FBgn0085195",1
"305","1-2 tissues","FBgn0085411",2
"306","1-2 tissues","FBgn0243586",5
"307","1-2 tissues","FBgn0259209",4
"308","1-2 tissues","FBgn0259219",7
"309","1-2 tissues","FBgn0259977",8
"310","1-2 tissues","FBgn0260388",5
"311","1-2 tissues","FBgn0260942",10
"312","1-2 tissues","FBgn0261681",1
"313","1-2 tissues","FBgn0262728",4
"314","1-2 tissues","FBgn0263031",2
"315","1-2 tissues","FBgn0263456",7
"316","1-2 tissues","FBgn0265356",5
"317","1-2 tissues","FBgn0265767",8
"318","3-4 tissues","FBgn0000108",3
"319","3-4 tissues","FBgn0000527",14
"320","3-4 tissues","FBgn0003710",8
"321","3-4 tissues","FBgn0004228",3
"322","3-4 tissues","FBgn0004242",3
"323","3-4 tissues","FBgn0004575",3
"324","3-4 tissues","FBgn0004620",3
"325","3-4 tissues","FBgn0005666",3
"326","3-4 tissues","FBgn0010114",9
"327","3-4 tissues","FBgn0010383",18
"328","3-4 tissues","FBgn0010395",1
"329","3-4 tissues","FBgn0010399",5
"330","3-4 tissues","FBgn0010435",9
"331","3-4 tissues","FBgn0013342",3
"332","3-4 tissues","FBgn0015714",4
"333","3-4 tissues","FBgn0019643",8
"334","3-4 tissues","FBgn0024366",5
"335","3-4 tissues","FBgn0027550",3
"336","3-4 tissues","FBgn0028550",5
"337","3-4 tissues","FBgn0028940",4
"338","3-4 tissues","FBgn0029507",6
"339","3-4 tissues","FBgn0029836",9
"340","3-4 tissues","FBgn0030040",5
"341","3-4 tissues","FBgn0030187",3
"342","3-4 tissues","FBgn0030244",7
"343","3-4 tissues","FBgn0030390",3
"344","3-4 tissues","FBgn0030569",8
"345","3-4 tissues","FBgn0030897",2
"346","3-4 tissues","FBgn0031468",3
"347","3-4 tissues","FBgn0031702",1
"348","3-4 tissues","FBgn0031734",8
"349","3-4 tissues","FBgn0032074",2
"350","3-4 tissues","FBgn0032087",5
"351","3-4 tissues","FBgn0032402",7
"352","3-4 tissues","FBgn0032435",15
"353","3-4 tissues","FBgn0032495",6
"354","3-4 tissues","FBgn0032538",6
"355","3-4 tissues","FBgn0032719",8
"356","3-4 tissues","FBgn0032741",5
"357","3-4 tissues","FBgn0032946",8
"358","3-4 tissues","FBgn0033031",3
"359","3-4 tissues","FBgn0033787",5
"360","3-4 tissues","FBgn0033874",4
"361","3-4 tissues","FBgn0033958",5
"362","3-4 tissues","FBgn0033968",3
"363","3-4 tissues","FBgn0034136",8
"364","3-4 tissues","FBgn0034159",3
"365","3-4 tissues","FBgn0034253",9
"366","3-4 tissues","FBgn0034301",3
"367","3-4 tissues","FBgn0034438",12
"368","3-4 tissues","FBgn0034530",4
"369","3-4 tissues","FBgn0034638",5
"370","3-4 tissues","FBgn0034860",3
"371","3-4 tissues","FBgn0034885",5
"372","3-4 tissues","FBgn0034974",18
"373","3-4 tissues","FBgn0035092",4
"374","3-4 tissues","FBgn0035179",11
"375","3-4 tissues","FBgn0035287",1
"376","3-4 tissues","FBgn0035431",15
"377","3-4 tissues","FBgn0035495",3
"378","3-4 tissues","FBgn0035501",3
"379","3-4 tissues","FBgn0035557",7
"380","3-4 tissues","FBgn0035612",3
"381","3-4 tissues","FBgn0035719",3
"382","3-4 tissues","FBgn0036116",2
"383","3-4 tissues","FBgn0036364",3
"384","3-4 tissues","FBgn0036678",11
"385","3-4 tissues","FBgn0037015",3
"386","3-4 tissues","FBgn0037203",3
"387","3-4 tissues","FBgn0037225",3
"388","3-4 tissues","FBgn0037323",6
"389","3-4 tissues","FBgn0037683",4
"390","3-4 tissues","FBgn0038294",2
"391","3-4 tissues","FBgn0038407",19
"392","3-4 tissues","FBgn0038511",20
"393","3-4 tissues","FBgn0038641",5
"394","3-4 tissues","FBgn0038652",2
"395","3-4 tissues","FBgn0038727",3
"396","3-4 tissues","FBgn0038734",3
"397","3-4 tissues","FBgn0038839",4
"398","3-4 tissues","FBgn0038966",1
"399","3-4 tissues","FBgn0038986",2
"400","3-4 tissues","FBgn0039054",1
"401","3-4 tissues","FBgn0039102",1
"402","3-4 tissues","FBgn0039161",3
"403","3-4 tissues","FBgn0039217",5
"404","3-4 tissues","FBgn0039647",5
"405","3-4 tissues","FBgn0039754",16
"406","3-4 tissues","FBgn0039789",8
"407","3-4 tissues","FBgn0040056",8
"408","3-4 tissues","FBgn0040262",5
"409","3-4 tissues","FBgn0040348",3
"410","3-4 tissues","FBgn0042696",5
"411","3-4 tissues","FBgn0046302",3
"412","3-4 tissues","FBgn0050269",3
"413","3-4 tissues","FBgn0051028",14
"414","3-4 tissues","FBgn0051871",10
"415","3-4 tissues","FBgn0051973",9
"416","3-4 tissues","FBgn0052499",14
"417","3-4 tissues","FBgn0053988",5
"418","3-4 tissues","FBgn0066365",6
"419","3-4 tissues","FBgn0083951",1
"420","3-4 tissues","FBgn0086906",8
"421","3-4 tissues","FBgn0259110",3
"422","3-4 tissues","FBgn0261041",3
"423","3-4 tissues","FBgn0262476",7
"424","3-4 tissues","FBgn0262508",1
"425","3-4 tissues","FBgn0263118",9
"426","3-4 tissues","FBgn0263216",6
"427","3-4 tissues","FBgn0265185",3
"428","3-4 tissues","FBgn0265187",8
"429","5-6 tissues","FBgn0000039",7
"430","5-6 tissues","FBgn0000422",5
"431","5-6 tissues","FBgn0000451",7
"432","5-6 tissues","FBgn0000636",25
"433","5-6 tissues","FBgn0001297",7
"434","5-6 tissues","FBgn0001311",10
"435","5-6 tissues","FBgn0001321",9
"436","5-6 tissues","FBgn0003159",3
"437","5-6 tissues","FBgn0003867",6
"438","5-6 tissues","FBgn0004580",5
"439","5-6 tissues","FBgn0004858",15
"440","5-6 tissues","FBgn0005564",8
"441","5-6 tissues","FBgn0005626",10
"442","5-6 tissues","FBgn0005638",5
"443","5-6 tissues","FBgn0010014",5
"444","5-6 tissues","FBgn0010246",6
"445","5-6 tissues","FBgn0010387",4
"446","5-6 tissues","FBgn0010397",12
"447","5-6 tissues","FBgn0011274",2
"448","5-6 tissues","FBgn0011603",14
"449","5-6 tissues","FBgn0011722",1
"450","5-6 tissues","FBgn0013467",11
"451","5-6 tissues","FBgn0015522",2
"452","5-6 tissues","FBgn0015577",5
"453","5-6 tissues","FBgn0015766",12
"454","5-6 tissues","FBgn0015801",15
"455","5-6 tissues","FBgn0016013",3
"456","5-6 tissues","FBgn0016032",14
"457","5-6 tissues","FBgn0016075",7
"458","5-6 tissues","FBgn0016694",8
"459","5-6 tissues","FBgn0022382",6
"460","5-6 tissues","FBgn0022702",7
"461","5-6 tissues","FBgn0022800",11
"462","5-6 tissues","FBgn0024989",14
"463","5-6 tissues","FBgn0025631",15
"464","5-6 tissues","FBgn0025683",4
"465","5-6 tissues","FBgn0026077",5
"466","5-6 tissues","FBgn0027341",5
"467","5-6 tissues","FBgn0027356",13
"468","5-6 tissues","FBgn0027570",7
"469","5-6 tissues","FBgn0027585",9
"470","5-6 tissues","FBgn0027600",9
"471","5-6 tissues","FBgn0027654",2
"472","5-6 tissues","FBgn0027930",2
"473","5-6 tissues","FBgn0028527",13
"474","5-6 tissues","FBgn0028572",22
"475","5-6 tissues","FBgn0028646",3
"476","5-6 tissues","FBgn0028675",3
"477","5-6 tissues","FBgn0029155",5
"478","5-6 tissues","FBgn0029508",14
"479","5-6 tissues","FBgn0029681",5
"480","5-6 tissues","FBgn0029814",8
"481","5-6 tissues","FBgn0029838",4
"482","5-6 tissues","FBgn0029896",12
"483","5-6 tissues","FBgn0030160",8
"484","5-6 tissues","FBgn0030234",8
"485","5-6 tissues","FBgn0030309",11
"486","5-6 tissues","FBgn0030590",7
"487","5-6 tissues","FBgn0030745",2
"488","5-6 tissues","FBgn0030884",25
"489","5-6 tissues","FBgn0030925",7
"490","5-6 tissues","FBgn0030964",6
"491","5-6 tissues","FBgn0031097",17
"492","5-6 tissues","FBgn0031232",2
"493","5-6 tissues","FBgn0031258",2
"494","5-6 tissues","FBgn0031449",4
"495","5-6 tissues","FBgn0031461",10
"496","5-6 tissues","FBgn0031530",5
"497","5-6 tissues","FBgn0031571",2
"498","5-6 tissues","FBgn0031589",7
"499","5-6 tissues","FBgn0031629",3
"500","5-6 tissues","FBgn0031762",3
"501","5-6 tissues","FBgn0031816",1
"502","5-6 tissues","FBgn0031850",16
"503","5-6 tissues","FBgn0031914",3
"504","5-6 tissues","FBgn0031918",13
"505","5-6 tissues","FBgn0031926",8
"506","5-6 tissues","FBgn0031948",4
"507","5-6 tissues","FBgn0032129",2
"508","5-6 tissues","FBgn0032167",6
"509","5-6 tissues","FBgn0032218",6
"510","5-6 tissues","FBgn0032297",18
"511","5-6 tissues","FBgn0032422",4
"512","5-6 tissues","FBgn0032598",8
"513","5-6 tissues","FBgn0032601",10
"514","5-6 tissues","FBgn0032614",6
"515","5-6 tissues","FBgn0032685",10
"516","5-6 tissues","FBgn0032798",6
"517","5-6 tissues","FBgn0032817",3
"518","5-6 tissues","FBgn0032897",14
"519","5-6 tissues","FBgn0032899",7
"520","5-6 tissues","FBgn0033033",6
"521","5-6 tissues","FBgn0033054",1
"522","5-6 tissues","FBgn0033075",4
"523","5-6 tissues","FBgn0033127",8
"524","5-6 tissues","FBgn0033128",2
"525","5-6 tissues","FBgn0033132",6
"526","5-6 tissues","FBgn0033134",4
"527","5-6 tissues","FBgn0033204",3
"528","5-6 tissues","FBgn0033250",7
"529","5-6 tissues","FBgn0033443",4
"530","5-6 tissues","FBgn0033446",7
"531","5-6 tissues","FBgn0033448",5
"532","5-6 tissues","FBgn0033464",5
"533","5-6 tissues","FBgn0033504",9
"534","5-6 tissues","FBgn0033582",2
"535","5-6 tissues","FBgn0033667",7
"536","5-6 tissues","FBgn0033668",6
"537","5-6 tissues","FBgn0033753",11
"538","5-6 tissues","FBgn0033919",7
"539","5-6 tissues","FBgn0033942",8
"540","5-6 tissues","FBgn0034135",5
"541","5-6 tissues","FBgn0034143",14
"542","5-6 tissues","FBgn0034391",5
"543","5-6 tissues","FBgn0034396",7
"544","5-6 tissues","FBgn0034417",8
"545","5-6 tissues","FBgn0034420",6
"546","5-6 tissues","FBgn0034583",2
"547","5-6 tissues","FBgn0034709",9
"548","5-6 tissues","FBgn0034723",12
"549","5-6 tissues","FBgn0034915",6
"550","5-6 tissues","FBgn0034985",6
"551","5-6 tissues","FBgn0035049",6
"552","5-6 tissues","FBgn0035089",13
"553","5-6 tissues","FBgn0035104",7
"554","5-6 tissues","FBgn0035131",10
"555","5-6 tissues","FBgn0035146",6
"556","5-6 tissues","FBgn0035173",1
"557","5-6 tissues","FBgn0035199",4
"558","5-6 tissues","FBgn0035379",6
"559","5-6 tissues","FBgn0035452",7
"560","5-6 tissues","FBgn0035538",2
"561","5-6 tissues","FBgn0035539",13
"562","5-6 tissues","FBgn0035708",2
"563","5-6 tissues","FBgn0035710",16
"564","5-6 tissues","FBgn0035844",1
"565","5-6 tissues","FBgn0035903",4
"566","5-6 tissues","FBgn0035904",2
"567","5-6 tissues","FBgn0036288",5
"568","5-6 tissues","FBgn0036289",8
"569","5-6 tissues","FBgn0036698",9
"570","5-6 tissues","FBgn0036769",9
"571","5-6 tissues","FBgn0036824",9
"572","5-6 tissues","FBgn0036935",7
"573","5-6 tissues","FBgn0037315",5
"574","5-6 tissues","FBgn0037410",11
"575","5-6 tissues","FBgn0037534",9
"576","5-6 tissues","FBgn0037917",4
"577","5-6 tissues","FBgn0038017",10
"578","5-6 tissues","FBgn0038034",3
"579","5-6 tissues","FBgn0038072",10
"580","5-6 tissues","FBgn0038197",14
"581","5-6 tissues","FBgn0038198",7
"582","5-6 tissues","FBgn0038405",1
"583","5-6 tissues","FBgn0038610",11
"584","5-6 tissues","FBgn0038682",13
"585","5-6 tissues","FBgn0039043",13
"586","5-6 tissues","FBgn0039075",4
"587","5-6 tissues","FBgn0039084",11
"588","5-6 tissues","FBgn0039467",17
"589","5-6 tissues","FBgn0039594",10
"590","5-6 tissues","FBgn0039756",26
"591","5-6 tissues","FBgn0039844",1
"592","5-6 tissues","FBgn0040319",2
"593","5-6 tissues","FBgn0040496",4
"594","5-6 tissues","FBgn0040551",6
"595","5-6 tissues","FBgn0041181",2
"596","5-6 tissues","FBgn0043364",11
"597","5-6 tissues","FBgn0043792",8
"598","5-6 tissues","FBgn0050021",11
"599","5-6 tissues","FBgn0050460",7
"600","5-6 tissues","FBgn0051005",5
"601","5-6 tissues","FBgn0051100",6
"602","5-6 tissues","FBgn0051140",4
"603","5-6 tissues","FBgn0051626",5
"604","5-6 tissues","FBgn0051665",10
"605","5-6 tissues","FBgn0051675",2
"606","5-6 tissues","FBgn0051676",8
"607","5-6 tissues","FBgn0052626",21
"608","5-6 tissues","FBgn0052687",4
"609","5-6 tissues","FBgn0052694",8
"610","5-6 tissues","FBgn0053196",15
"611","5-6 tissues","FBgn0085404",3
"612","5-6 tissues","FBgn0085446",3
"613","5-6 tissues","FBgn0086708",7
"614","5-6 tissues","FBgn0086758",10
"615","5-6 tissues","FBgn0250871",7
"616","5-6 tissues","FBgn0259163",19
"617","5-6 tissues","FBgn0259923",5
"618","5-6 tissues","FBgn0260386",9
"619","5-6 tissues","FBgn0260451",17
"620","5-6 tissues","FBgn0260653",7
"621","5-6 tissues","FBgn0261015",15
"622","5-6 tissues","FBgn0261113",9
"623","5-6 tissues","FBgn0261547",4
"624","5-6 tissues","FBgn0261565",15
"625","5-6 tissues","FBgn0261625",5
"626","5-6 tissues","FBgn0261673",25
"627","5-6 tissues","FBgn0261788",7
"628","5-6 tissues","FBgn0262160",2
"629","5-6 tissues","FBgn0262353",2
"630","5-6 tissues","FBgn0262717",1
"631","5-6 tissues","FBgn0262740",7
"632","5-6 tissues","FBgn0263038",9
"633","5-6 tissues","FBgn0263072",2
"634","5-6 tissues","FBgn0263111",5
"635","5-6 tissues","FBgn0263200",7
"636","5-6 tissues","FBgn0263258",14
"637","5-6 tissues","FBgn0263773",11
"638","5-6 tissues","FBgn0263782",5
"639","5-6 tissues","FBgn0264894",3
"640","5-6 tissues","FBgn0266377",4
"641","5-6 tissues","FBgn0266417",6
"642","5-6 tissues","FBgn0267336",18
